symbol,ts,time,decision,context_key,meta_baseline_id,setup_family,side_intent,open,high,low,close,ctx_vwap,ctx_vwap_sigma,ctx_vwap_hi,ctx_vwap_lo,ctx_session_bucket,trend_dir_h2,range_pos_h2
XAUUSD.mg,2023-01-04 16:00:00,2023-01-04 16:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1856.49,1860.38,1849.06,1858.58,1847.1756666666668,5.0793383225015685,1857.33434331167,1837.016990021664,NY,UP,0.7897782063645135
XAUUSD.mg,2023-01-06 18:00:00,2023-01-06 18:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1863.45,1869.53,1860.97,1868.72,1839.4236363636364,9.243314995273572,1857.9102663541837,1820.9370063730892,NY_PM,UP,0.9794780846212328
XAUUSD.mg,2023-01-06 20:00:00,2023-01-06 20:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1868.72,1869.83,1865.85,1866.85,1840.77,9.768260519877908,1860.306521039756,1821.233478960244,NY_PM,UP,0.925069147598692
XAUUSD.mg,2023-01-12 20:00:00,2023-01-12 20:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1898.92,1899.55,1894.31,1898.4,1882.9450000000004,6.556026107722584,1896.0570522154453,1869.8329477845552,NY_PM,UP,0.8973286128097897
XAUUSD.mg,2023-01-31 18:00:00,2023-01-31 18:00:00,ALLOW,STATE=TREND|QL=TREND_UNCLASSIFIED|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1927.42,1931.12,1926.79,1929.37,1918.572424242424,6.273605132235097,1931.1196345068945,1906.025213977954,NY_PM,UP,0.9422251568174316
XAUUSD.mg,2023-01-31 20:00:00,2023-01-31 20:00:00,ALLOW,STATE=TREND|QL=TREND_UNCLASSIFIED|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1929.37,1930.99,1927.28,1928.55,1918.7052777777776,6.438813309086613,1931.5829043959511,1905.8276511596048,NY_PM,UP,0.9151535160118872
XAUUSD.mg,2023-02-28 20:00:00,2023-02-28 20:00:00,ALLOW,STATE=TREND|QL=TREND_UNCLASSIFIED|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1828.1,1830.36,1826.32,1826.52,1816.1030555555556,5.363541358193655,1826.8301382719424,1805.375972839168,NY_PM,UP,0.8239516433698497
XAUUSD.mg,2023-03-01 14:00:00,2023-03-01 14:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1840.64,1844.52,1833.95,1842.32,1830.3674074074077,5.78499814874839,1841.937403704904,1818.7974111099104,NY,UP,0.9145962732919236
XAUUSD.mg,2023-03-01 16:00:00,2023-03-01 16:00:00,ALLOW,STATE=TREND|QL=TREND_UNCLASSIFIED|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1842.37,1844.55,1833.51,1841.46,1830.9666666666667,5.9526614560173625,1842.8719895787012,1819.061343754632,NY,UP,0.856145251396652
XAUUSD.mg,2023-03-03 16:00:00,2023-03-03 16:00:00,ALLOW,STATE=TREND|QL=TREND_UNCLASSIFIED|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1843.57,1848.29,1839.08,1847.81,1840.746,4.788129524905103,1850.32225904981,1831.1697409501896,NY,UP,0.915584415584412
XAUUSD.mg,2023-03-03 18:00:00,2023-03-03 18:00:00,ALLOW,STATE=TREND|QL=TREND_UNCLASSIFIED|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1847.76,1850.14,1845.75,1850.14,1841.150303030303,4.837235070010751,1850.8247731703243,1831.4758328902813,NY_PM,UP,1.0
XAUUSD.mg,2023-03-03 20:00:00,2023-03-03 20:00:00,ALLOW,STATE=TREND|QL=TREND_UNCLASSIFIED|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1850.15,1856.28,1849.01,1855.2,1841.7983333333327,5.051334832480135,1851.9010029982933,1831.6956636683728,NY_PM,UP,0.9485224022878967
XAUUSD.mg,2023-03-08 14:00:00,2023-03-08 14:00:00,ALLOW,STATE=TREND|QL=TREND_UNCLASSIFIED|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1815.08,1821.58,1812.22,1820.39,1813.404814814815,7.681125877506035,1828.767066569827,1798.042563059803,NY,UP,0.4894948591864148
XAUUSD.mg,2023-03-15 16:00:00,2023-03-15 16:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1925.92,1927.33,1917.3,1927.17,1904.4983333333332,10.91832652632607,1926.3349863859853,1882.6616802806811,NY,UP,0.928730512249447
XAUUSD.mg,2023-03-15 18:00:00,2023-03-15 18:00:00,ALLOW,STATE=TREND|QL=TREND_UNCLASSIFIED|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1926.89,1937.31,1921.59,1924.35,1905.517575757576,10.999710224826286,1927.516996207228,1883.5181553079235,NY_PM,UP,0.7499999999999989
XAUUSD.mg,2023-03-15 20:00:00,2023-03-15 20:00:00,ALLOW,STATE=TREND|QL=TREND_UNCLASSIFIED|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1924.35,1926.31,1908.8,1916.49,1906.148611111111,11.01121309849382,1928.171037308099,1884.1261849141235,NY_PM,UP,0.5983796296296302
XAUUSD.mg,2023-03-17 16:00:00,2023-03-17 16:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1950.68,1964.98,1949.53,1959.33,1928.6583333333333,9.929466811881092,1948.5172669570957,1908.7993997095712,NY,UP,0.8888670338316267
XAUUSD.mg,2023-03-17 18:00:00,2023-03-17 18:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1959.04,1975.17,1955.07,1972.87,1931.084848484848,11.1776163512367,1953.4400811873213,1908.7296157823748,NY_PM,UP,0.9611158072696504
XAUUSD.mg,2023-03-17 20:00:00,2023-03-17 20:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1972.79,1987.77,1970.16,1976.04,1933.545,12.19300297769235,1957.9310059553843,1909.1589940446152,NY_PM,UP,0.8318520642201832
XAUUSD.mg,2023-03-23 14:00:00,2023-03-23 14:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1978.18,1984.8,1966.33,1983.84,1973.243703703704,14.616084343175508,2002.4758723900547,1944.0115350173528,NY,UP,0.9773691654879764
XAUUSD.mg,2023-03-23 16:00:00,2023-03-23 16:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1984.01,1986.79,1977.44,1983.83,1973.753,14.617507251002506,2002.988014502005,1944.517985497995,NY,UP,0.9295405855748624
XAUUSD.mg,2023-03-23 18:00:00,2023-03-23 18:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1983.78,1999.47,1982.49,1999.37,1975.024848484848,14.624931043458108,2004.2747105717644,1945.774986397932,NY_PM,UP,0.9981252343457042
XAUUSD.mg,2023-03-23 20:00:00,2023-03-23 20:00:00,ALLOW,STATE=TREND|QL=TREND_UNCLASSIFIED|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1999.38,2003.07,1987.79,1997.49,1976.1325,14.304877752240298,2004.74225550448,1947.5227444955192,NY_PM,UP,0.8557394002068265
XAUUSD.mg,2023-04-11 14:00:00,2023-04-11 14:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,2000.21,2002.33,1995.35,2001.16,1995.6296296296296,9.372446779847436,2014.3745231893247,1976.884736069935,NY,UP,0.7649340574088459
XAUUSD.mg,2023-04-11 16:00:00,2023-04-11 16:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,2001.17,2006.02,1999.5,2003.92,1996.0576666666668,9.412392478226211,2014.8824516231196,1977.2328817102143,NY,UP,0.8374384236453221
XAUUSD.mg,2023-05-30 14:00:00,2023-05-30 14:00:00,ALLOW,STATE=TREND|QL=TREND_UNCLASSIFIED|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1959.83,1961.91,1952.07,1952.4,1943.5970833333336,6.67639809467706,1956.949879522688,1930.2442871439796,NY,UP,0.6854118425405231
XAUUSD.mg,2023-06-08 20:00:00,2023-06-08 20:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1963.46,1965.07,1962.49,1964.6,1948.4344444444444,9.289873838491378,1967.0141921214272,1929.8546967674613,NY_PM,UP,0.8214402085369812
XAUUSD.mg,2023-06-23 18:00:00,2023-06-23 18:00:00,ALLOW,STATE=TREND|QL=TREND_UNCLASSIFIED|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1920.69,1921.97,1917.55,1920.45,1916.738484848485,5.962881435214927,1928.664247718915,1904.8127219780552,NY_PM,UP,0.3945628214548126
XAUUSD.mg,2023-06-30 18:00:00,2023-06-30 18:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1918.65,1922.34,1917.09,1918.21,1908.1200000000003,4.202703339288955,1916.5254066785783,1899.7145933214224,NY_PM,UP,0.8141314131413196
XAUUSD.mg,2023-06-30 20:00:00,2023-06-30 20:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1918.26,1919.97,1917.45,1919.69,1908.614166666667,4.532305299547042,1917.678777265761,1899.549556067573,NY_PM,UP,0.880738073807387
XAUUSD.mg,2023-07-04 14:00:00,2023-07-04 14:00:00,ALLOW,STATE=TREND|QL=TREND_UNCLASSIFIED|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1928.15,1929.95,1925.74,1927.86,1923.3533333333332,4.251632522495483,1931.8565983783244,1914.8500682883423,NY,UP,0.7531531531531503
XAUUSD.mg,2023-07-12 18:00:00,2023-07-12 18:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1955.26,1959.26,1955.02,1956.86,1938.5863636363636,5.702688505567911,1949.9917406474992,1927.1809866252277,NY_PM,UP,0.9176107106076176
XAUUSD.mg,2023-07-18 14:00:00,2023-07-18 14:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1962.71,1971.67,1960.4,1970.92,1958.9407407407407,5.619838609470885,1970.1804179596825,1947.701063521799,NY,UP,0.963564530289731
XAUUSD.mg,2023-07-18 16:00:00,2023-07-18 16:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1970.92,1983.97,1970.8,1977.73,1960.2383333333332,6.010310844370517,1972.2589550220744,1948.2177116445923,NY,UP,0.8043887147335426
XAUUSD.mg,2023-07-26 16:00:00,2023-07-26 16:00:00,ALLOW,STATE=TREND|QL=TREND_UNCLASSIFIED|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1966.2,1974.68,1963.89,1971.99,1966.2056666666665,4.509877450310507,1975.2254215672872,1957.1859117660451,NY,UP,0.8045058139534843
XAUUSD.mg,2023-07-31 18:00:00,2023-07-31 18:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1970.32,1971.9,1969.83,1970.61,1958.879333333333,8.746805533507247,1976.3729444003477,1941.385722266319,NY_PM,UP,0.934640522875813
XAUUSD.mg,2023-08-23 18:00:00,2023-08-23 18:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1917.93,1919.95,1917.08,1917.61,1903.037575757576,4.347295695071385,1911.7321671477184,1894.342984367433,NY_PM,UP,0.9023372287145184
XAUUSD.mg,2023-08-23 20:00:00,2023-08-23 20:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1917.52,1917.72,1915.92,1916.44,1903.7047222222225,4.610474027411308,1912.925670277045,1894.4837741674,NY_PM,UP,0.8487720809995698
XAUUSD.mg,2023-08-30 16:00:00,2023-08-30 16:00:00,ALLOW,STATE=TREND|QL=TREND_STRONG|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1947.03,1948.65,1943.73,1944.56,1937.824,4.329796576813543,1946.483593153627,1929.164406846373,NY,UP,0.7269692923898438
XAUUSD.mg,2023-09-15 16:00:00,2023-09-15 16:00:00,ALLOW,STATE=TREND|QL=TREND_UNCLASSIFIED|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1924.4,1930.02,1924.4,1926.05,1914.689,4.051631184554518,1922.7922623691088,1906.585737630891,NY,UP,0.8230837789661312
XAUUSD.mg,2023-09-15 18:00:00,2023-09-15 18:00:00,ALLOW,STATE=TREND|QL=TREND_UNCLASSIFIED|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1926.05,1927.48,1923.52,1924.35,1915.2681818181816,4.238462325992861,1923.7451064701677,1906.791257166196,NY_PM,UP,0.7460815047021903
XAUUSD.mg,2023-09-15 20:00:00,2023-09-15 20:00:00,ALLOW,STATE=TREND|QL=TREND_UNCLASSIFIED|LF=LOOK_FOR_trend_strong_orderly,STATE_REINFORCEMENT,state_reinforcement,LONG,1924.34,1924.6,1921.97,1922.08,1915.687777777778,4.338609029413824,1924.3649958366057,1907.0105597189504,NY_PM,UP,0.6256482791136238
